Código IBGE,Ente Devedor,Estado,Regime Atual,CAPAG STN,REPASSE ATUAL (%),RCL ANUAL (2024),RCL 1/12,ESTOQUE/RCL EX ANTERIOR (%),REPASSE CONSERVADOR (%),TETO REPASSE CONSERVADOR (R$),"REPASSE COM PEC 66 (%)
 1% A 5%",TETO REPASSE PEC 66 (R$)
4120002,Porecatu,PR,especial,C,"20,75%","R$ 65.466.662,23","R$ 5.455.555,19","0,00%","1,00%","R$ 654.666,62","1,00%","R$ 654.666,62"
4116208,Morretes,PR,especial,n.d.,"7,13%","R$ 93.874.839,66","R$ 7.822.903,31","0,00%","1,00%","R$ 938.748,40","1,00%","R$ 938.748,40"
4108007,Florestópolis,PR,especial,C,5%,"R$ 59.630.540,98","R$ 4.969.211,75","0,00%","1,00%","R$ 596.305,41","1,00%","R$ 596.305,41"
4204608,Criciúma,SC,Especial,,"2,34%","R$ 1.294.445.542,00","R$ 107.870.461,83","0,00%","1,00%","R$ 12.944.455,42","1,00%","R$ 12.944.455,42"
4103107,Bocaiúva do Sul,PR,geral,C,,"R$ 67.672.959,40","R$ 5.639.413,28","0,00%","1,00%","R$ 676.729,59","1,00%","R$ 676.729,59"
4108304,Foz do Iguaçu,PR,especial,B,"3,82%","R$ 1.773.951.548,64","R$ 147.829.295,72","0,00%","1,00%","R$ 17.739.515,49","1,00%","R$ 17.739.515,49"
4201406,Araranguá,SC,Especial,,"3,03%","R$ 332.077.373,50","R$ 27.673.114,46","0,00%","1,00%","R$ 3.320.773,74","1,00%","R$ 3.320.773,74"
4208807,Jaguaruna,SC,Especial,,"3,37%","R$ 124.080.820,80","R$ 10.340.068,40","0,00%","1,00%","R$ 1.240.808,21","1,00%","R$ 1.240.808,21"
4108403,Francisco Beltrão,PR,geral,C,,"R$ 513.138.904,78","R$ 42.761.575,40","0,00%","1,00%","R$ 5.131.389,05","1,00%","R$ 5.131.389,05"
4111209,Itapejara d'Oeste,PR,geral,A,,"R$ 76.658.987,41","R$ 6.388.248,95","0,00%","1,00%","R$ 766.589,87","1,00%","R$ 766.589,87"
4205506,Fraiburgo,SC,Geral,,,"R$ 230.483.777,00","R$ 19.206.981,42","0,00%","1,00%","R$ 2.304.837,77","1,00%","R$ 2.304.837,77"
4127700,Toledo,PR,especial,A,"3,42%","R$ 878.009.741,01","R$ 73.167.478,42","0,00%","1,00%","R$ 8.780.097,41","1,00%","R$ 8.780.097,41"
4110706,Irati,PR,geral,B,,"R$ 260.839.556,42","R$ 21.736.629,70","0,00%","1,00%","R$ 2.608.395,56","1,00%","R$ 2.608.395,56"
4107751,Figueira,PR,especial,A,1%,"R$ 38.492.095,76","R$ 3.207.674,65","0,00%","1,00%","R$ 384.920,96","1,00%","R$ 384.920,96"
4118501,Pato Branco,PR,especial,C,"2,30%","R$ 564.647.880,37","R$ 47.053.990,03","0,00%","1,00%","R$ 5.646.478,80","1,00%","R$ 5.646.478,80"
4115507,Marumbi,PR,geral,n.d.,,"R$ 35.249.975,91","R$ 2.937.497,99","0,00%","1,00%","R$ 352.499,76","1,00%","R$ 352.499,76"
4107504,Engenheiro Beltrão,PR,especial,n.d.,"2,26%","R$ 72.139.474,51","R$ 6.011.622,88","0,00%","1,00%","R$ 721.394,75","1,00%","R$ 721.394,75"
4109906,Icaraíma,PR,geral,C,,"R$ 53.313.272,74","R$ 4.442.772,73","0,00%","1,00%","R$ 533.132,73","1,00%","R$ 533.132,73"
4128203,União da Vitória,PR,especial,C,"2,23%","R$ 270.628.457,90","R$ 22.552.371,49","0,00%","1,00%","R$ 2.706.284,58","1,00%","R$ 2.706.284,58"
4111506,Ivaiporã,PR,geral,B,,"R$ 155.418.786,25","R$ 12.951.565,52","0,00%","1,00%","R$ 1.554.187,86","1,00%","R$ 1.554.187,86"
